CaseNumber | Name | Age | Gender | CNIC | Phone | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
190|'\zthu'YphÅ''''''''''''|38|'T''''''|';99<?4<=>?@784:'|'7:89?@7>=<;'|'_`a:;<'|8|8|7|7|13|'979<47:498
191|'HÄlzoh'Hsp''''''''''''|35|'M''''''|';99<@4=>?@7894:'|'7:99=<;:987'|'HIJ=>?'|10|7|7|8|13|'979<47;497
192|'Ipshs'Rohu''''''''''''|41|'T''''''|';99=74>?@789:48'|'7::989:;<=>'|'WXY@78'|9|8|7|7|14|'979<47<47;
193|'Thyph'YphÅ''''''''''''|33|'M''''''|';99=84?@789:;4:'|'7:;9?@7>=<;'|'STU9:;'|8|7|8|7|18|'979<47=48?
194|'Uhllt'Hotlk'''''''''''|39|'T''''''|';99=94789:;<=4:'|'7:89=<;:987'|'VWX<=>'|11|8|7|7|16|'979<47>479
195|'Zhuh'Pm{prohy'''''''''|37|'M''''''|';99=:49:;<=>?4:'|'7:99;:987@?'|'\]^?@7'|7|8|7|7|12|'979<47?48=
196|'ahpu'Hsp''''''''''''''|40|'T''''''|';99=;4:;<=>?@48'|'7::989:;<=>'|'_`a89:'|9|7|8|7|19|'979<47@4:7
197|'Mhypoh'Rohu'''''''''''|34|'M''''''|';99=<4<=>?@784:'|'7:;9?@7>=<;'|'HIJ;<='|8|7|7|8|11|'979<48748;
198|'Ptyhu'YphÅ''''''''''''|43|'T''''''|';99==4=>?@7894:'|'7:89=<;:987'|'WXY>?@'|7|8|8|7|22|'979<48849?
199|'Zloypzo'Hotlk'''''''''|36|'M''''''|';99=>4>?@789:4:'|'7:99;:987@?'|'STU789'|9|7|7|8|12|'979<489489
200|'[hypx'Hsp'''''''''''''|38|'T''''''|';99=?4?@789:;49'|'7::989:;<=>'|'\]^:;<'|8|8|7|7|13|'979=47849=
201|'UhÅph'YphÅ''''''''''''|35|'M''''''|';99=@4789:;<=4:'|'7:;9?@7>=<;'|'_`a=>?'|10|7|7|8|13|'979=47947@
202|'Hzpt'Rohu'''''''''''''|41|'T''''''|';99>749:;<=>?4:'|'7:89=<;:987'|'HIJ@78'|9|8|7|7|14|'979=47:49<
203|'Htpuh'Hsp'''''''''''''|33|'M''''''|';99>84:;<=>?@48'|'7:99;:987@?'|'WXY9:;'|8|7|8|7|18|'979=47;47?
204|'Yhzopk'Hotlk''''''''''|39|'T''''''|';99>94<=>?@784:'|'7::989:;<=>'|'STU<=>'|11|8|7|7|16|'979=47<499
205|'Zhtpuh'YphÅ'''''''''''|37|'M''''''|';99>:4=>?@7894:'|'7:;9?@7>=<;'|'\]^?@7'|7|8|7|7|12|'979=47=47<
206|'Uhills'Hsp''''''''''''|40|'T''''''|';99>;4>?@789:4:'|'7:89=<;:987'|'_`a89:'|9|7|8|7|19|'979=47>48@
207|'Zhih'Hotlk''''''''''''|34|'M''''''|';99><4?@789:;4:'|'7:99;:987@?'|'HIJ;<='|8|7|7|8|11|'979=47?479
208|'Mhyohu'YphÅ'''''''''''|36|'T''''''|';99>=4789:;<=48'|'7::989:;<=>'|'WXY>?@'|10|7|7|8|13|'979=47@48=
209|'Hpzoh'Hsp'''''''''''''|38|'M''''''|';99>>489:;<=>4:'|'7:;9?@7>=<;'|'STU789'|9|8|7|7|14|'979=4874:7
210|'Hsp'Rohu''''''''''''''|35|'T''''''|';99>?49:;<=>?4:'|'7:89=<;:987'|'\]^:;<'|8|7|8|7|18|'979=48848:
211|'Zhpth'YphÅ''''''''''''|41|'M''''''|';99>@4:;<=>?@4:'|'7:99;:987@?'|'_`a=>?'|9|8|7|7|14|'979=48949>
212|'Ptyhu'Hsp'''''''''''''|33|'T''''''|';99?74;<=>?@749'|'7::989:;<=>'|'HIJ@78'|11|7|7|8|14|'979>478487
213|'Opuh'Hotlk''''''''''''|39|'M''''''|';99?84<=>?@784:'|'7:;9?@7>=<;'|'WXY9:;'|8|8|7|7|13|'979>47949;
214|'[hypx'YphÅ''''''''''''|37|'T''''''|';99?94=>?@7894:'|'7:89=<;:987'|'STU<=>'|10|7|8|7|20|'979>47:487
215|'Upkh'Hsp''''''''''''''|40|'M''''''|';99?:4>?@789:48'|'7:99;:987@?'|'\]^?@7'|9|8|7|7|14|'979>47;49;
216|'\zthu'Rohu''''''''''''|34|'T''''''|';99?;4?@789:;4:'|'7::989:;<=>'|'_`a89:'|7|7|8|7|17|'979>47<47?
217|'Zhih'YphÅ'''''''''''''|36|'M''''''|';99?<4789:;<=4:'|'7:;9?@7>=<;'|'HIJ;<='|8|8|7|7|13|'979>47=499
218|'Zhhk'Hotlk''''''''''''|38|'T''''''|';99?=489:;<=>4:'|'7:89=<;:987'|'WXY>?@'|9|7|7|8|12|'979>47>47=
219|'HÄlzoh'YphÅ'''''''''''|35|'M''''''|';99?>49:;<=>?4:'|'7:99;:987@?'|'STU789'|10|8|7|7|15|'979>47?497
220|'Ptyhu'Rohu''''''''''''|41|'T''''''|';99??4:;<=>?@48'|'7::989:;<=>'|'\]^:;<'|8|7|8|7|18|'979>47@47:
221|'Mhypoh'YphÅ'''''''''''|33|'M''''''|';99?@4;<=>?@74:'|'7:;9?@7>=<;'|'_`a=>?'|11|7|7|8|14|'979>48748?
222|'Hsp'Hotlk'''''''''''''|39|'T''''''|';99@74<=>?@784:'|'7:89=<;:987'|'HIJ@78'|9|8|7|7|14|'979>488478
223|'Zhuh'YphÅ'''''''''''''|37|'M''''''|';99@84=>?@7894:'|'7:99;:987@?'|'WXY9:;'|7|7|8|7|17|'979>48948<
224|'ahpu'Rohu'''''''''''''|40|'T''''''|';99@94>?@789:49'|'7::989:;<=>'|'STU<=>'|10|8|7|7|15|'979?47849@
225|'Uhpth'Hsp'''''''''''''|34|'M''''''|';99@:4?@789:;4:'|'7:;9?@7>=<;'|'\]^?@7'|8|7|7|8|11|'979?479489
226|'Ipshs'YphÅ''''''''''''|36|'T''''''|';99@;4789:;<=4:'|'7:89=<;:987'|'_`a89:'|9|8|7|7|14|'979?47:49>
227|'Htpuh'Hotlk'''''''''''|38|'M''''''|';99@<489:;<=>48'|'7:99;:987@?'|'HIJ;<='|10|7|8|7|20|'979?47;487
228|'Hkuhu'YphÅ''''''''''''|35|'T''''''|';99@=49:;<=>?4:'|'7::989:;<=>'|'WXY>?@'|8|8|7|7|13|'979?47<49;
229|'Zhtpuh'Rohu'''''''''''|41|'M''''''|';99@>4:;<=>?@4:'|'7:;9?@7>=<;'|'STU789'|9|7|7|8|12|'979?47=47>
230|'\zthu'Hsp'''''''''''''|33|'T''''''|';99@?4;<=>?@749'|'7:89=<;:987'|'\]^:;<'|11|8|7|7|16|'979?47>498
231|'Opyh'YphÅ'''''''''''''|39|'M''''''|';99@@4<=>?@784:'|'7:99;:987@?'|'_`a=>?'|8|7|8|7|18|'979?47?47;
232|'Rhzopm'Hotlk''''''''''|36|'T''''''|';9:774=>?@7894:'|'7:;989:;<=>'|'HIJ@78'|10|8|7|7|15|'979?47@48?
233|'MpÅÅh'YphÅ''''''''''''|38|'M''''''|';9:784>?@789:4:'|'7:89=<;:987'|'WXY9:;'|9|7|7|8|12|'979?487479
234|'Pt{phÅ'Hsp''''''''''''|35|'T''''''|';9:794?@789:;4:'|'7:99;:987@?'|'STU<=>'|8|8|7|7|13|'979?48848=
235|'HÄlzoh'Hotlk''''''''''|41|'M''''''|';9:7:4@789:;<48'|'7::989:;<=>'|'\]^?@7'|11|7|8|7|21|'979?4894:7
236|'Zhhk'YphÅ'''''''''''''|33|'T''''''|';9:7;4789:;<=4:'|'7:;9?@7>=<;'|'_`a89:'|9|8|7|7|14|'979@47848:
237|'Zhyh'Rohu'''''''''''''|39|'M''''''|';9:7<489:;<=>49'|'7:89=<;:987'|'HIJ;<='|7|7|7|8|10|'979@47949>
238|'\zhth'Hsp'''''''''''''|37|'T''''''|';9:7=49:;<=>?4:'|'7:99;:987@?'|'WXY>?@'|10|8|7|7|15|'979@47:48:
239|'Uhpth'YphÅ''''''''''''|40|'M''''''|';9:7>4:;<=>?@4:'|'7::989:;<=>'|'STU789'|8|7|8|7|18|'979@47;49>
240|'Hsp'YphÅ''''''''''''''|34|'T''''''|';9:7?4;<=>?@74:'|'7:;9?@7>=<;'|'\]^:;<'|9|8|7|7|14|'979@47<488
241|'Opuh'Hsp''''''''''''''|36|'M''''''|';9:7@4<=>?@7848'|'7:89=<;:987'|'_`a=>?'|11|7|7|8|14|'979@47=49<
242|'Hzhk'YphÅ'''''''''''''|38|'T''''''|';9:874=>?@7894:'|'7:99;:987@?'|'HIJ@78'|8|8|7|7|13|'979@47>47@
243|'Zhtpuh'Hotlk''''''''''|35|'M''''''|';9:884>?@789:4:'|'7::989:;<=>'|'WXY9:;'|10|7|8|7|20|'979@47?49:
244|'Ipshs'Hsp'''''''''''''|41|'T''''''|';9:894?@789:;4:'|'7:;9?@7>=<;'|'STU<=>'|9|8|7|7|14|'979@47@47=
245|'Zhih'Hotlk''''''''''''|33|'M''''''|';9:8:4@789:;<49'|'7:89=<;:987'|'\]^?@7'|7|7|7|8|10|'979@487497
246|'Ptyhu'YphÅ''''''''''''|39|'T''''''|';9:8;4789:;<=4:'|'7:99;:987@?'|'_`a89:'|8|8|7|7|13|'979@48847:
247|'Htpuh'Hsp'''''''''''''|37|'M''''''|';9:8<489:;<=>4:'|'7::989:;<=>'|'HIJ;<='|11|7|8|7|21|'979@48948>
248|'Hotlk'YphÅ''''''''''''|40|'T''''''|';9:8=49:;<=>?4:'|'7:;9?@7>=<;'|'WXY>?@'|9|8|7|7|14|'97:74784:8
249|'Mhypoh'Hsp''''''''''''|34|'M''''''|';9:8>4:;<=>?@4:'|'7:89=<;:987'|'STU789'|10|7|7|8|13|'97:747948;
250|'\zthu'Hotlk'''''''''''|36|'T''''''|';9:8?4;<=>?@748'|'7:99;:987@?'|'\]^:;<'|8|8|7|7|13|'97:747:4:7
251|'Upkh'YphÅ'''''''''''''|38|'M''''''|';9:8@4<=>?@784:'|'7::989:;<=>'|'_`a=>?'|9|7|8|7|19|'97:747;48:
252|'HspÄh'Hsp'''''''''''''|35|'T''''''|';9:974=>?@78949'|'7:;9?@7>=<;'|'HIJ@78'|10|8|7|7|15|'97:747<49>
253|'Zhhk'Hotlk''''''''''''|41|'M''''''|';9:984>?@789:4:'|'7:89=<;:987'|'WXY9:;'|8|7|7|8|11|'97:747=487
254|'MpÅÅh'Hsp'''''''''''''|33|'T''''''|';9:994?@789:;4:'|'7:99;:987@?'|'STU<=>'|9|8|7|7|14|'97:747>49;
255|'Pt{phÅ'YphÅ'''''''''''|39|'M''''''|';9:9:4@789:;<4:'|'7::989:;<=>'|'\]^?@7'|11|7|8|7|21|'97:747?47>
256|'\thpy'Hozhu'''''''''''|28|'T''''''|';989:4;:9<;:949'|'7::::9;=<;<'|'KZH:98'|13|9|11|12|78|'979:47<4
257|'Mhohk'Hsp'''''''''''''|37|'T''''''|';9:9;4789:;<=4:'|'7:;9?@7>=<;'|'_`a89:'|10|8|7|7|15|'97:747@498
258|\thpy'Hozhu|28|T|':989:D:99;9<>4;'|'7::::9;9:<;'|'KZH89:'|9|12|11|10|83|979:48947;
259|HÅohhu'Hsp|27|T|';987848:778:74;'|'7::;:8>?8>>'|'HQL>@7'|11|8|7|10|25|979:4894:8
260|HspÄhu'Thspr|27|T|';9:784>==<9;:4:'|'7:889@<8;8?'|'IKT?;>'|10|7|8|8|23|979:47<47>
261|HspÄhu|27|T|';9:784>==<9;;48'|'7:889@<8999'|'OQI9=?'|8|8|7|11|25|979:48947>
262|Zhhk|25|t|';9:78@@@?:<:9'|'7:889?=9<9>'|'QQ^?@@'|17|17|17|17|197|979:488488
