CaseNumber | Name                  | Age | Gender | CNIC             | Phone         | CarPlate | Challan | Robbery | Murder | Drug Selling | Crime Points | Date Modified
205         | Imran Ali             | 26  | M      | 42280-4567890-2 | 03321234567 | ABC901 | 4       | 0       | 0      | 1             | 2            | 2027-01-10
206         | Hina Ahmed            | 32  | F      | 42281-5678901-3 | 03428907654 | PQR234 | 1       | 1       | 0      | 0             | 3            | 2027-02-24
207         | Tariq Riaz            | 30  | M      | 42282-6789012-3 | 03126543210 | LMN567 | 3       | 0       | 1      | 0             | 1            | 2027-03-10
208         | Nida Ali              | 33  | F      | 42283-7890123-1 | 03224321098 | UVW890 | 2       | 1       | 0      | 0             | 2            | 2027-04-24
209         | Usman Khan            | 27  | M      | 42284-8901234-3 | 03321234567 | XYZ123 | 0       | 0       | 1      | 0             | 1            | 2027-05-08
210         | Saba Riaz             | 29  | F      | 42285-0123456-3 | 03428907654 | ABC456 | 1       | 1       | 0      | 0             | 3            | 2027-06-22
211         | Saad Ahmed            | 31  | M      | 42286-1234567-3 | 03126543210 | PQR789 | 2       | 0       | 0      | 1             | 2            | 2027-07-06
212         | Ayesha Riaz           | 28  | F      | 42287-2345678-3 | 03224321098 | LMN012 | 3       | 1       | 0      | 0             | 1            | 2027-08-20
213         | Imran Khan            | 34  | M      | 42288-3456789-1 | 03321234567 | UVW345 | 1       | 0       | 1      | 0             | 3            | 2027-09-03
214         | Fariha Riaz           | 26  | F      | 42289-4567890-3 | 03428907654 | XYZ678 | 4       | 0       | 0      | 1             | 2            | 2027-10-18
215         | Ali Ahmed             | 32  | M      | 42290-5678901-3 | 03126543210 | ABC901 | 2       | 1       | 0      | 0             | 1            | 2027-11-01
216         | Sana Riaz             | 30  | F      | 42291-6789012-3 | 03224321098 | PQR234 | 0       | 0       | 1      | 0             | 3            | 2027-12-15
217         | Zain Khan             | 33  | M      | 42292-7890123-2 | 03321234567 | LMN567 | 3       | 1       | 0      | 0             | 2            | 2028-01-29
218         | Naima Ali             | 27  | F      | 42293-8901234-3 | 03428907654 | UVW890 | 1       | 0       | 0      | 1             | 1            | 2028-02-12
219         | Bilal Riaz            | 29  | M      | 42294-0123456-3 | 03126543210 | XYZ123 | 2       | 1       | 0      | 0             | 3            | 2028-03-27
220         | Amina Ahmed           | 31  | F      | 42295-1234567-1 | 03224321098 | ABC456 | 3       | 0       | 1      | 0             | 2            | 2028-04-10
221         | Adnan Riaz            | 28  | M      | 42296-2345678-3 | 03321234567 | PQR789 | 1       | 1       | 0      | 0             | 1            | 2028-05-24
222         | Samina Khan           | 34  | F      | 42297-3456789-3 | 03428907654 | LMN012 | 2       | 0       | 0      | 1             | 3            | 2028-06-07
223         | Usman Ali             | 26  | M      | 42298-4567890-2 | 03126543210 | UVW345 | 4       | 1       | 0      | 0             | 2            | 2028-07-21
224         | Hira Riaz             | 32  | F      | 42299-5678901-3 | 03224321098 | XYZ678 | 1       | 0       | 1      | 0             | 1            | 2028-08-04
225         | Kashif Ahmed          | 29  | M      | 42300-6789012-3 | 03421234567 | ABC901 | 3       | 1       | 0      | 0             | 3            | 2028-09-18
226         | Fizza Riaz            | 31  | F      | 42301-7890123-3 | 03126543210 | PQR234 | 2       | 0       | 0      | 1             | 2            | 2028-10-02
227         | Imtiaz Ali            | 28  | M      | 42302-8901234-3 | 03224321098 | LMN567 | 1       | 1       | 0      | 0             | 1            | 2028-11-16
228         | Ayesha Ahmed          | 34  | F      | 42303-9012345-1 | 03321234567 | UVW890 | 4       | 0       | 1      | 0             | 3            | 2028-12-30
229         | Saad Riaz             | 26  | M      | 42304-0123456-3 | 03428907654 | XYZ123 | 2       | 1       | 0      | 0             | 2            | 2029-01-13
230         | Sara Khan             | 32  | F      | 42305-1234567-2 | 03126543210 | ABC456 | 0       | 0       | 0      | 1             | 1            | 2029-02-27
231         | Usama Ali             | 30  | M      | 42306-2345678-3 | 03224321098 | PQR789 | 3       | 1       | 0      | 0             | 3            | 2029-03-13
232         | Naima Riaz            | 33  | F      | 42307-3456789-3 | 03321234567 | LMN012 | 1       | 0       | 1      | 0             | 2            | 2029-04-27
233         | Ali Riaz              | 27  | M      | 42308-4567890-3 | 03428907654 | UVW345 | 2       | 1       | 0      | 0             | 1            | 2029-05-11
234         | Hina Ali              | 29  | F      | 42309-5678901-1 | 03126543210 | XYZ678 | 4       | 0       | 0      | 1             | 3            | 2029-06-25
235         | Asad Riaz             | 31  | M      | 42310-6789012-3 | 03224321098 | ABC901 | 1       | 1       | 0      | 0             | 2            | 2029-07-09
236         | Samina Ahmed          | 28  | F      | 42311-7890123-3 | 03321234567 | PQR234 | 3       | 0       | 1      | 0             | 1            | 2029-08-23
237         | Bilal Ali             | 34  | M      | 42312-8901234-3 | 03428907654 | LMN567 | 2       | 1       | 0      | 0             | 3            | 2029-09-06
238         | Saba Ahmed            | 26  | F      | 42313-9012345-2 | 03126543210 | UVW890 | 0       | 0       | 0      | 1             | 2            | 2029-10-20
239         | Imran Riaz            | 32  | M      | 42314-0123456-3 | 03224321098 | XYZ123 | 1       | 1       | 0      | 0             | 1            | 2029-11-03
240         | Amina Ali             | 30  | F      | 42315-1234567-3 | 03321234567 | ABC456 | 4       | 0       | 1      | 0             | 3            | 2029-12-17
241         | Ahmed Riaz            | 33  | M      | 42316-2345678-3 | 03428907654 | PQR789 | 2       | 1       | 0      | 0             | 2            | 2030-01-31
242         | Fariha Ali            | 27  | F      | 42317-3456789-3 | 03126543210 | LMN012 | 3       | 0       | 0      | 1             | 1            | 2030-02-14
243         | Usman Ahmed           | 29  | M      | 42318-4567890-1 | 03224321098 | UVW345 | 1       | 1       | 0      | 0             | 3            | 2030-03-30
244         | Nida Riaz             | 31  | F      | 42319-5678901-3 | 03321234567 | XYZ678 | 2       | 0       | 1      | 0             | 2            | 2030-04-13
245         | Aliya Ali             | 28  | M      | 42320-6789012-2 | 03428907654 | ABC901 | 3       | 1       | 0      | 0             | 1            | 2030-05-27
246         | Saad Ahmed            | 34  | F      | 42321-7890123-3 | 03126543210 | PQR234 | 1       | 0       | 0      | 1             | 3            | 2030-06-10
247         | Fizza Ali             | 26  | M      | 42322-8901234-3 | 03224321098 | LMN567 | 2       | 1       | 0      | 0             | 2            | 2030-07-24
248         | Imtiaz Riaz           | 32  | F      | 42323-9012345-3 | 03321234567 | UVW890 | 4       | 0       | 1      | 0             | 1            | 2030-08-07
249         | Umair Ahsan           | 21  | M      | 42123-4325432-2 | 03333246545 | DSA321 | 6       | 2       | 4      | 5             | 2            | 2023-05-
250         | Fahad Ali             | 30  | M      | 42324-0123456-3 | 03428907654 | XYZ123 | 3       | 1       | 0      | 0             | 3            | 2030-09-21
